"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4386","Login with valid credentials","chromium","2026-03-23","passed","2026-03-23","","Login.spec.ts","",""
"","13285","Search for product @smoke @regression","chromium","2026-03-24","passed","2026-03-24","","SearchForproduct.spec.ts","",""
"","4460","Login by Valid login @dataDriven","chromium","2026-03-27","passed","2026-03-27","","LoginDataDriven.spec.ts","",""
"","14992","End to End flow","chromium","2026-03-27","passed","2026-03-27","","EndToEnd.spec.ts","",""
"","12862","Search for product @smoke","chromium","2026-03-24","passed","2026-03-24","","SearchForproduct.spec.ts","",""
"","1824","Login with valid credentials @master @sanity @regression @smoke","chromium","2026-03-27","passed","2026-03-27","Test 1","Login.spec.ts","",""
"","9912","UserRegistration_001 @master @sanity @regression @smoke","chromium","2026-03-25","passed","2026-03-25","","AccountRegistration.spec.ts","",""
"","3833","Login with InValid login @dataDriven","chromium","2026-03-27","passed","2026-03-27","","LoginDataDriven.spec.ts","",""
"","8872","Search and add product to cart @smoke @regression","chromium","2026-03-27","passed","2026-03-27","Search and Add to Cart Flow","SearchForproduct.spec.ts","",""
"","23000","Login with Valid login","chromium","2026-03-24","passed","2026-03-24","","LoginDataDriven.spec.ts","",""
"","4563","Login by InValid login @dataDriven","chromium","2026-03-27","passed","2026-03-27","","LoginDataDriven.spec.ts","",""
"","13921","UserRegistration_001 @master @sanity @regression @smoke","chromium","2026-03-27","passed","2026-03-27","","accountRegistration.spec.ts","",""
"","23007","Login with InValid login","chromium","2026-03-24","passed","2026-03-24","","LoginDataDriven.spec.ts","",""
"","869","Logout from My Account @master @sanity @regression @smoke","chromium","2026-03-27","passed","2026-03-27","Test 1","Login.spec.ts","",""
"","16689","Login with valid credentials @master @sanity @regression @smoke","chromium","2026-03-23","passed","2026-03-23","","Login.spec.ts","",""
"","3871","Login with Valid login @dataDriven","chromium","2026-03-27","passed","2026-03-27","","LoginDataDriven.spec.ts","",""
"","4898","UserRegistration_001","chromium","2026-03-23","passed","2026-03-23","","accountRegistration.spec.ts","",""
